Alaska,9191.401427196475,6927.222959290992,7790.8486590187
Alabama,337802.40567567275,297695.2904329711,299880.6604776376
Arkansas,58250.563405467365,59898.52588157838,64576.93855685932
Arizona,1246639.4886054464,1231182.9423357914,1272763.8929963121
California,5877256.432659728,4999224.797283825,5212574.131844511
Colorado,514043.74885706825,363987.8653024651,478876.8702043411
Connecticut,239046.33193231482,201608.83471924887,229782.44848574192
Delaware,9086.458227947387,8595.317120503834,9268.056365174325
Georgia,812628.6742912804,1024309.6978043388,1120661.6859968267
Hawaii,4502.018543689671,4198.4514586676305,4304.551210976858
Iowa,617691.1558504105,445599.88578736957,493650.8549037615
Idaho,61415.773847071236,58197.36754627557,65850.245293687
Illinois,634826.1381768254,623426.9252316365,783389.4876023844
Indiana,638480.2617861483,495389.3209487984,699145.7482750705
Kansas,704019.329369965,522599.6156748566,623591.3226543282
Kentucky,118081.70541975067,100498.09018540483,134109.09050835858
Louisiana,809756.0054528699,756757.7708089,758070.3456023966
Massachusetts,785737.2840059773,797221.4660863966,797683.7225218678
Maryland,78901.65088230296,89657.49123989523,86763.33039397065
Maine,1146.5325691701,959.2549921935461,1187.713865248329
Michigan,1980387.6545829885,1660730.4729308109,1940369.4361087193
Minnesota,696565.1934558419,508892.9619412011,803747.1306541564
Missouri,541023.6867073713,520162.0238100174,588515.3783765502
Mississippi,95532.95240376459,92373.9225690534,96389.80026737081
Montana,30951.25234416463,23168.7497831634,24518.788926095884
North Carolina,260372.34393240316,259604.20163168028,249938.94031548395
North Dakota,59648.671959369,45324.497599633774,60628.24232504373
Nebraska,40762.75247372124,35198.842254916744,42222.98140461965
New Hampshire,2984.266189971128,2264.5887987344713,2487.302302332168
New Jersey,607992.2479345616,568753.6357391143,782345.5120095289
New Mexico,77461.87335237446,61590.90594366694,153722.75094122626
Nevada,101434.92234334801,93184.46316765889,97347.65086088602
New York,2240684.237207809,2143248.4567362056,2313099.295963381
Ohio,1377584.9098629951,1084502.3977047664,1434819.5641199376
Oklahoma,202407.48539606167,196354.1847426323,204219.16358366955
Oregon,9849.654008074029,7915.670208086641,8710.563261967412
Pennsylvania,509366.7861795558,403037.42511421634,548085.2507426612
Rhode Island,31997.638420952364,33363.858098000244,34695.68050701686
South Carolina,246526.44629138926,234849.45820838772,236630.58250927803
South Dakota,36658.53058891231,36595.474721014754,36179.08500498001
Tennessee,496250.0386570934,452834.9148642329,509376.709658339
Texas,5906304.418809515,5384136.54977836,5964178.605387969
Utah,93840.40426630988,81604.98026281796,98583.5302522494
Virginia,77204.23996731457,78929.31565916019,80760.33121123548
Vermont,291.9505470703278,279.8400994439182,295.7579334588681
Washington,48134.66320044669,46418.033106511866,48588.217557648015
Wisconsin,435171.63202997827,419008.38595751894,448266.35047406674
Wyoming,32114.06309109976,21213.85271762139,20898.917582597926
